Cluster,Cluster_Lat,Cluster_Lng,RideCount
67,38.80312416322194,-77.0403624183395,377
68,38.804377999999986,-77.06086600000002,108
69,38.804486,-77.132334,57
70,38.804492354,-77.060833335,1
71,38.804503679,-77.132313967,1
72,38.80500577356157,-77.04654507346778,1208
73,38.80576264572431,-77.06062724418292,222
74,38.80578881911363,-77.05353588829546,44
75,38.806805374794976,-77.05898718778917,517
76,38.808158704785704,-77.10079414583335,42
77,38.80959961609525,-77.12891324704759,21
78,38.80993926956523,-77.13912097391302,115
79,38.81,-77.13,329
80,38.809999999999995,-77.11999999999999,62
81,38.81,-77.10999999999999,135
82,38.81,-77.10000000000001,13
83,38.81,-77.09,25
84,38.809999999999995,-77.07999999999998,39
85,38.81,-77.06999999999998,11
86,38.81000000000001,-77.05999999999997,121
87,38.81,-77.04999999999998,199
88,38.81,-77.04,68
89,38.81,-77.0,3
90,38.81,-76.99,6
91,38.81,-76.98,2
92,38.81074378741534,-77.04463052159906,195
93,38.811361,-77.109975,26
94,38.81145804516824,-77.05027324742989,107
95,38.812186943039215,-77.1099394470392,51
96,38.812197089,-77.040729284,1
97,38.812206626,-77.109982014,1
98,38.812351239426576,-77.04070216478672,286
99,38.812644124,-77.061751962,1
100,38.812662363,-77.0441695455,2
101,38.812711,-77.06171499999999,54
102,38.81271835097397,-77.04409831909372,192
103,38.81347670988409,-77.05309985190291,673
104,38.81403146811029,-77.04281710062229,228
105,38.81430515694564,-77.11893011753259,92
106,38.81457600302687,-77.05280812917745,186
107,38.815842,-77.11001399999999,42
108,38.81701920923854,-77.05010467539911,218
109,38.81850899999999,-77.105564,25
110,38.818747782445264,-77.04778264510948,137
111,38.81908830381818,-77.01034121053031,22
112,38.82,-77.15,1
113,38.82,-77.14,7
114,38.82,-77.13,17
115,38.820000000000014,-77.11999999999998,23
116,38.81999999999999,-77.11000000000001,44
117,38.82,-77.1,1
118,38.82,-77.09000000000002,11
119,38.82,-77.08,24
120,38.82,-77.07,32
121,38.82,-77.06,73
122,38.81999999999999,-77.05000000000003,38
123,38.82,-77.03999999999999,12
124,38.819999999999986,-77.01000000000003,47
125,38.82,-77.0,104
126,38.82000000000001,-76.99,26
127,38.82,-76.97,2
128,38.820061791299636,-77.05954930131394,423
129,38.82015127826088,-77.09388981556522,23
130,38.82093233007948,-77.05309550241422,239
131,38.8215644950408,-77.00110098658162,98
132,38.82233993570001,-77.04855168786492,380
133,38.824329766999995,-77.00483768975758,99
134,38.824793,-77.08506600000001,37
135,38.82595,-77.058541,226
